CATEGORY,CALL GROUPS,final_case_type,CASE DESC,occ_date,x_coordinate,y_coordinate,census_tract
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/1/16,7642248,683975,5200
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/1/16,7643880,708564,7202
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/1/16,7644727,681628,10600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/1/16,7649891,682544,1101
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/1/16,7653668,685434,2000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/1/16,7654106,681631,1201
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/1/16,7663801,664263,8700
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/1/16,7665520,671782,702
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/1/16,7666228,665778,8600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/1/16,7668034,695876,7600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/1/16,7671696,666737,602
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/1/16,7672053,675875,8301
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/1/16,7673800,686572,8100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/1/16,7675198,670330,8500
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/1/16,7679619,686024,8100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/1/16,7693634,680577,9702
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/2/16,7642103,680702,5600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/2/16,7642599,679364,5600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/2/16,7644782,694645,3502
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/2/16,7645659,674406,5900
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/2/16,7647025,704078,3701
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/2/16,7648564,704228,3701
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/2/16,7650242,685424,2100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/2/16,7650269,686436,2402
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/2/16,7651078,665171,200
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/2/16,7652354,680581,1201
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/2/16,7667345,688484,2902
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/2/16,7669832,662377,8902
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/2/16,7673640,682167,8201
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/2/16,7675221,671794,8302
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/2/16,7680382,676309,9000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/2/16,7681784,699635,7300
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/2/16,7683031,676245,9000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/2/16,7686939,676771,9701
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/2/16,7687913,681565,9701
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/2/16,7690206,692698,9501
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/2/16,7692868,671956,9804
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/3/16,7629652,656292,6403
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/3/16,7633515,709815,4001
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/3/16,7635992,708460,3901
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/3/16,7639507,699390,3902
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/3/16,7639507,699390,3902
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/3/16,7640036,685172,4800
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/3/16,7641859,681908,5600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/3/16,7644398,681709,10600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/3/16,7644414,683727,10600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/3/16,7644931,683511,10600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/3/16,7646546,698610,3401
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/3/16,7647108,696446,3401
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/3/16,7648077,700954,3702
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/3/16,7648478,684041,2100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/3/16,7657293,679169,1302
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/3/16,7668446,682167,1601
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/3/16,7673589,668786,601
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/3/16,7674175,681929,8201
